what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1341479893144
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1341479893160
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1341479893160
os,sysinfo,,,"win32",1341479893165
arch,sysinfo,,,"x86_64",1341479893165
ws,sysinfo,,,"win32",1341479893165
locale,sysinfo,,,"en_US",1341479893165
processors,sysinfo,,,"8",1341479893165
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341479893165
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1341479893165
java.specification.name,sysinfo,,,"Java Platform API Specification",1341479893165
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341479893165
java.specification.version,sysinfo,,,"1.7",1341479893165
java.vendor,sysinfo,,,"Oracle Corporation",1341479893165
java.version,sysinfo,,,"1.7.0_04",1341479893165
java.vm.info,sysinfo,,,"mixed mode",1341479893165
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341479893165
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341479893165
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341479893165
java.vm.specification.version,sysinfo,,,"1.7",1341479893166
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341479893166
java.vm.version,sysinfo,,,"23.0-b21",1341479893166
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1341479893236
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1341479893318
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1341479893709
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1341479893727
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1341479893809
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1341479895225
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1341479895295
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1341479895296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341479901496
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1341479902713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480063536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480064790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480074191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480075283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480429880
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1341480444017
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1341480444193
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341480444593
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341480444867
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341480444991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1341480444994
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1341480445709
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1341480446356
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1341480447173
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341480448374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341480449207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480465695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480525308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341480525324
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341480528135
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341480528654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480530446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480531653
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341480532475
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341480533048
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341480533077
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1341480533676
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1341480533677
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1341480533686
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1341480533744
